sample,_study,EIF4A1,EIF4E,EIF4G1,EIF4EBP1,RPS6KB1,MYC,_sample_type,primary disease or tissue,OS,OS.time
GTEX-VJWN-1026-SM-4M1ZN,GTEX,13.3564,10.1775,13.097,9.607,9.7828,11.6751,Normal Tissue,Heart - Atrial Appendage,,
GTEX-Y3I4-0526-SM-4TT6X,GTEX,13.3563,10.4056,13.6904,10.6797,9.4737,10.8032,Normal Tissue,Heart - Atrial Appendage,,
GTEX-WY7C-1326-SM-4ONCX,GTEX,13.3551,10.2818,13.744,8.8028,10.0785,10.5455,Normal Tissue,Esophagus - Muscularis,,
GTEX-145LS-2726-SM-5Q5D8,GTEX,13.355,10.9614,13.525,9.0083,10.3996,10.8274,Normal Tissue,Colon - Transverse,,
GTEX-11WQK-0011-R8a-SM-5BC7C,GTEX,13.3549,11.6366,12.8379,8.9036,9.8684,9.1827,Normal Tissue,Brain - Hypothalamus,,
GTEX-U4B1-1226-SM-4DXT7,GTEX,13.3546,10.2786,13.6398,10.1271,10.3894,10.3327,Normal Tissue,Bladder,,
GTEX-13N1W-0011-R6a-SM-5MR43,GTEX,13.3541,11.5389,13.2612,8.1095,9.8685,10.4656,Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),,
GTEX-NPJ8-0007-SM-26GMW,GTEX,13.3539,10.4492,12.6414,7.0651,10.4816,9.3234,Normal Tissue,Whole Blood,,
GTEX-P4PP-2026-SM-3P61N,GTEX,13.353,9.9971,13.1801,8.4354,10.578,9.9783,Normal Tissue,Uterus,,
GTEX-13CIG-0011-R9a-SM-5K7VU,GTEX,13.3528,11.3865,13.3031,10.2126,10.0796,8.446,Normal Tissue,Brain - Spinal Cord (Cervical C-1),,
GTEX-147F4-0011-R8b-SM-5S2UN,GTEX,13.3524,11.4993,13.0771,7.8817,10.006,9.3296,Normal Tissue,Brain - Hypothalamus,,
GTEX-ZYFG-0626-SM-5GZYA,GTEX,13.3523,10.5848,13.856,8.2857,10.2523,10.5192,Normal Tissue,Thyroid,,
GTEX-ZAK1-2326-SM-5CVMY,GTEX,13.3523,10.1237,13.5174,12.5189,11.0636,12.9845,Normal Tissue,Pancreas,,
GTEX-132NY-1426-SM-5J1MJ,GTEX,13.3521,10.6929,13.865,9.4482,9.4704,9.2076,Normal Tissue,Heart - Atrial Appendage,,
GTEX-139UC-0011-R9a-SM-5K7W7,GTEX,13.3518,11.2867,13.1289,8.2942,10.3767,9.1004,Normal Tissue,Brain - Spinal Cord (Cervical C-1),,
GTEX-12KS4-2426-SM-5LU8P,GTEX,13.3515,10.5074,13.1027,9.0839,10.4021,11.0962,Normal Tissue,Colon - Transverse,,
GTEX-11DXY-0426-SM-5H12R,GTEX,13.3512,10.8254,13.6429,7.6186,10.2912,10.0123,Normal Tissue,Thyroid,,
GTEX-11ZUS-1326-SM-5FQUC,GTEX,13.3503,10.7477,13.167,9.116,10.3175,8.5689,Normal Tissue,Artery - Tibial,,
GTEX-145LV-0226-SM-5S2QG,GTEX,13.3494,10.2581,13.474,10.4436,9.7537,10.9192,Normal Tissue,Heart - Atrial Appendage,,
GTEX-111YS-2326-SM-5987L,GTEX,13.3492,11.2099,15.8829,10.6079,11.3394,10.4872,Normal Tissue,Muscle - Skeletal,,
GTEX-ZYVF-2326-SM-5E44Z,GTEX,13.3486,10.4956,13.2792,9.2868,10.4407,10.5666,Normal Tissue,Esophagus - Muscularis,,
GTEX-13N11-2826-SM-5KM4Z,GTEX,13.3486,10.3508,12.918,8.4225,10.3469,11.3809,Normal Tissue,Nerve - Tibial,,
GTEX-13PVQ-0011-R5b-SM-5O9DI,GTEX,13.3485,11.0392,13.1615,7.1578,10.2083,8.444,Normal Tissue,Brain - Caudate (Basal Ganglia),,
GTEX-WYVS-2326-SM-3NMAI,GTEX,13.3485,10.1326,15.3195,9.6796,11.2749,11.6376,Normal Tissue,Muscle - Skeletal,,
GTEX-13NZ8-2126-SM-5L3EO,GTEX,13.348,10.124,15.0308,11.4428,10.404,11.3564,Normal Tissue,Muscle - Skeletal,,
GTEX-WXYG-1026-SM-4ONCD,GTEX,13.3467,10.4563,13.9747,9.0724,10.2102,10.026,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-WWYW-0526-SM-3NB2W,GTEX,13.3464,10.8221,15.3789,11.2883,11.0454,14.0622,Normal Tissue,Muscle - Skeletal,,
GTEX-WQUQ-2626-SM-4MVNP,GTEX,13.3457,10.5669,13.6565,9.4465,10.3929,10.2421,Normal Tissue,Colon - Sigmoid,,
GTEX-ZAB4-1526-SM-5CVN7,GTEX,13.3455,10.0746,13.2739,12.3101,10.6793,10.2405,Normal Tissue,Stomach,,
GTEX-11EQ8-2626-SM-5N9BO,GTEX,13.3454,10.8751,12.6717,10.3803,10.4263,10.4081,Normal Tissue,Colon - Sigmoid,,
GTEX-11ONC-0526-SM-5BC57,GTEX,13.3453,10.5184,13.8064,12.6939,10.8985,12.0997,Normal Tissue,Pancreas,,
GTEX-11ZUS-3026-SM-5EGI4,GTEX,13.3451,10.5398,13.6359,7.3702,9.9015,7.8119,Normal Tissue,Pituitary,,
GTEX-11P82-0426-SM-5HL5D,GTEX,13.3449,10.4779,13.6119,8.9949,10.2054,9.8801,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-Y9LG-0426-SM-4VBRT,GTEX,13.3434,10.5616,13.7162,7.747,10.5121,10.3461,Normal Tissue,Thyroid,,
GTEX-S341-1026-SM-4AD71,GTEX,13.343,10.6065,13.6214,8.7382,10.0347,10.2928,Normal Tissue,Uterus,,
GTEX-13U4I-1926-SM-5LU39,GTEX,13.3422,10.445,13.1445,8.3333,10.8013,10.611,Normal Tissue,Uterus,,
GTEX-XUW1-1826-SM-4BOQD,GTEX,13.3421,9.8759,13.8691,9.4296,10.2779,9.6905,Normal Tissue,Colon - Sigmoid,,
GTEX-11XUK-0926-SM-5EQL3,GTEX,13.3406,10.4616,13.5818,8.7351,10.249,10.5406,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-QEG4-1826-SM-4R1JN,GTEX,13.3403,10.2455,13.8583,11.4482,10.0788,9.1224,Normal Tissue,Liver,,
GTEX-139T8-0426-SM-5K7VC,GTEX,13.3402,10.7113,13.087,9.9155,10.4959,10.6355,Normal Tissue,Artery - Tibial,,
GTEX-ZVT3-0326-SM-5GU6U,GTEX,13.3402,10.2787,12.9703,8.0265,10.294,10.9485,Normal Tissue,Nerve - Tibial,,
GTEX-139TU-0826-SM-5IJFG,GTEX,13.34,10.3803,14.306,10.4341,10.0537,10.0148,Normal Tissue,Liver,,
GTEX-11NSD-1726-SM-5N9C3,GTEX,13.3399,10.3212,13.2084,8.9335,10.2865,10.8223,Normal Tissue,Small Intestine - Terminal Ileum,,
GTEX-13111-0926-SM-5DUVQ,GTEX,13.3399,10.1954,13.8208,9.045,10.0339,11.1155,Normal Tissue,Esophagus - Muscularis,,
GTEX-YB5E-2226-SM-5IFJ5,GTEX,13.3396,11.1046,15.7644,13.5311,11.3338,11.9226,Normal Tissue,Muscle - Skeletal,,
GTEX-11ONC-0926-SM-5BC5E,GTEX,13.3392,10.9382,13.1105,8.3908,10.5073,10.7419,Normal Tissue,Artery - Aorta,,
GTEX-WY7C-1526-SM-4OND2,GTEX,13.3391,10.4293,13.4113,8.9015,10.272,10.4522,Normal Tissue,Artery - Coronary,,
GTEX-13X6H-0526-SM-5LU4Q,GTEX,13.3384,10.4049,13.679,7.8515,10.3537,10.82,Normal Tissue,Thyroid,,
GTEX-13O21-0826-SM-5J2NU,GTEX,13.3382,10.6346,14.1613,10.235,10.2031,9.4244,Normal Tissue,Esophagus - Muscularis,,
GTEX-11EQ9-2126-SM-5PNVW,GTEX,13.3378,10.554,15.5258,12.3743,11.4621,10.5972,Normal Tissue,Muscle - Skeletal,,
GTEX-139YR-1926-SM-5LZXM,GTEX,13.3371,10.2378,13.2521,10.5548,10.3436,11.2362,Normal Tissue,Stomach,,
GTEX-WQUQ-1826-SM-4OOSD,GTEX,13.3371,10.1961,13.7714,9.4793,10.2223,11.7644,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-PWCY-0426-SM-48TCW,GTEX,13.337,10.2168,13.3314,9.2312,10.1869,10.1246,Normal Tissue,Artery - Coronary,,
GTEX-YFCO-0826-SM-5LUAG,GTEX,13.3369,10.3912,13.5522,10.2926,10.5634,10.6502,Normal Tissue,Stomach,,
GTEX-11NSD-1626-SM-5986U,GTEX,13.3366,10.6735,13.5166,8.6945,10.158,10.8592,Normal Tissue,Colon - Transverse,,
GTEX-11OF3-0826-SM-5BC51,GTEX,13.3366,10.5833,12.9603,9.4929,10.81,11.3377,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-139YR-2126-SM-5KM11,GTEX,13.3355,10.9664,13.3209,9.2835,10.0326,11.3042,Normal Tissue,Colon - Transverse,,
GTEX-RU1J-0426-SM-46MUK,GTEX,13.3355,10.3233,14.1657,9.4784,10.2807,9.9378,Normal Tissue,Esophagus - Muscularis,,
GTEX-ZAB4-1726-SM-5HL8C,GTEX,13.3355,10.2589,13.621,12.8802,10.8008,13.0544,Normal Tissue,Pancreas,,
GTEX-14BMU-0226-SM-5S2QA,GTEX,13.3353,10.6671,13.8575,8.2691,9.8008,10.3609,Normal Tissue,Thyroid,,
GTEX-14AS3-0426-SM-5QGQK,GTEX,13.3345,10.1551,13.0194,10.0203,10.0245,12.2364,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-1399T-1226-SM-5P9J5,GTEX,13.3323,10.4966,13.0813,9.366,10.2902,10.5158,Normal Tissue,Prostate,,
GTEX-S341-1326-SM-4AD72,GTEX,13.3323,10.2848,13.0519,8.2518,10.4519,10.1431,Normal Tissue,Cervix - Endocervix,,
GTEX-12ZZX-0426-SM-5DUVT,GTEX,13.3323,10.1676,13.0868,8.7179,10.0996,10.4919,Normal Tissue,Nerve - Tibial,,
GTEX-14A5I-1226-SM-5NQBW,GTEX,13.3322,9.7393,12.7194,9.9333,9.9226,10.7865,Normal Tissue,Heart - Left Ventricle,,
GTEX-113IC-0526-SM-5HL76,GTEX,13.3319,10.3949,12.8887,8.6987,10.1863,11.8555,Normal Tissue,Nerve - Tibial,,
GTEX-11P81-2726-SM-59876,GTEX,13.3317,10.6041,12.9604,9.0809,10.574,10.0347,Normal Tissue,Artery - Tibial,,
GTEX-YFC4-2726-SM-5IFJW,GTEX,13.3316,9.8521,12.7264,9.5298,11.094,11.3726,Normal Tissue,Ovary,,
GTEX-SNMC-0426-SM-4DM5Y,GTEX,13.3313,10.5073,13.8357,10.0833,10.0522,9.4655,Normal Tissue,Esophagus - Muscularis,,
GTEX-WYVS-1926-SM-4SOIC,GTEX,13.3313,10.1172,14.1202,9.6846,9.8185,11.2112,Normal Tissue,Liver,,
GTEX-PSDG-0526-SM-2S1OH,GTEX,13.3297,9.7906,13.4384,9.0169,10.2789,9.2514,Normal Tissue,Artery - Tibial,,
GTEX-RU1J-1926-SM-2TF6S,GTEX,13.329,10.4433,13.9994,9.3326,10.6191,10.8907,Normal Tissue,Artery - Tibial,,
GTEX-UPK5-0726-SM-4IHL7,GTEX,13.3274,10.1406,14.2621,10.2246,9.9232,11.2103,Normal Tissue,Skin - Sun Exposed (Lower Leg),,
GTEX-ZVE2-0526-SM-5GU7E,GTEX,13.3265,10.5734,13.1815,10.0768,10.665,9.8445,Normal Tissue,Artery - Tibial,,
GTEX-YEC3-0526-SM-4YCF2,GTEX,13.326,10.6371,13.4204,8.8581,10.3405,10.353,Normal Tissue,Artery - Aorta,,
GTEX-13D11-0826-SM-5KLZJ,GTEX,13.3256,10.7212,13.3247,8.9295,9.7136,11.496,Normal Tissue,Colon - Transverse,,
GTEX-ZVTK-0826-SM-5GZXI,GTEX,13.3254,10.2653,12.9851,8.7272,10.2689,10.8564,Normal Tissue,Nerve - Tibial,,
GTEX-ZG7Y-1826-SM-4WWD3,GTEX,13.3253,10.5742,13.8951,9.0682,10.6737,9.5307,Normal Tissue,Colon - Sigmoid,,
GTEX-11DXZ-2626-SM-59882,GTEX,13.3244,10.7777,13.5691,9.1288,10.1952,9.2086,Normal Tissue,Artery - Tibial,,
GTEX-1399R-1226-SM-5P9GF,GTEX,13.3243,10.5783,14.8525,10.0019,9.7221,8.9906,Normal Tissue,Liver,,
GTEX-UJMC-1826-SM-3GADT,GTEX,13.3236,10.7642,15.1772,11.6398,11.6488,10.1563,Normal Tissue,Muscle - Skeletal,,
GTEX-VJYA-0926-SM-4KL1N,GTEX,13.3236,10.1972,13.4633,10.1874,9.8436,10.6257,Normal Tissue,Small Intestine - Terminal Ileum,,
GTEX-13RTJ-2126-SM-5S2PZ,GTEX,13.3233,10.3833,12.5851,10.414,10.3168,10.496,Normal Tissue,Prostate,,
GTEX-QCQG-0006-SM-2S1OW,GTEX,13.3231,9.0759,11.7378,8.2206,9.0071,10.3018,Normal Tissue,Whole Blood,,
GTEX-POMQ-2026-SM-2S1OD,GTEX,13.3226,10.4273,13.1511,8.3995,10.3526,11.0346,Normal Tissue,Nerve - Tibial,,
GTEX-X638-0426-SM-47JY2,GTEX,13.322,9.8528,12.9327,8.4326,10.2849,11.1264,Normal Tissue,Nerve - Tibial,,
GTEX-WL46-2026-SM-3LK7U,GTEX,13.3215,10.0603,12.798,9.1623,10.3468,11.7431,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZLV1-0826-SM-4WWEQ,GTEX,13.3206,10.4862,13.7178,10.1244,10.2259,10.243,Normal Tissue,Stomach,,
GTEX-11OF3-2226-SM-5986F,GTEX,13.3204,10.3502,13.0157,8.9569,10.244,10.856,Normal Tissue,Esophagus - Muscularis,,
GTEX-OHPM-1426-SM-3TW8Y,GTEX,13.319,10.5292,13.7201,9.5351,9.8984,10.921,Normal Tissue,Colon - Transverse,,
GTEX-P78B-2526-SM-3P5ZY,GTEX,13.3175,9.8377,13.1782,9.248,10.5266,10.271,Normal Tissue,Uterus,,
GTEX-U8T8-2326-SM-3DB96,GTEX,13.3174,10.8767,13.8843,8.2425,10.345,10.5105,Normal Tissue,Thyroid,,
GTEX-145LU-0726-SM-5QGP2,GTEX,13.3167,10.4879,12.895,7.8683,10.1289,11.2078,Normal Tissue,Nerve - Tibial,,
GTEX-WYJK-2326-SM-4ONDN,GTEX,13.3166,10.0888,13.1966,9.6352,9.9869,11.2245,Normal Tissue,Colon - Sigmoid,,
GTEX-WRHU-0626-SM-3MJFI,GTEX,13.3163,10.4357,13.1668,8.2496,10.3017,11.1743,Normal Tissue,Nerve - Tibial,,
GTEX-111YS-1826-SM-5GIEP,GTEX,13.3162,10.7803,13.7553,9.068,10.8088,10.2922,Normal Tissue,Colon - Sigmoid,,
GTEX-N7MT-0226-SM-48TC3,GTEX,13.3162,9.8398,12.7503,9.2148,10.299,10.5813,Normal Tissue,Esophagus - Muscularis,,
GTEX-1399T-0526-SM-5J1NC,GTEX,13.3159,11.0293,12.9312,8.5891,10.3285,10.3408,Normal Tissue,Artery - Aorta,,
GTEX-13O21-2526-SM-5J1OZ,GTEX,13.3159,10.9036,13.0652,9.5007,10.6712,9.5515,Normal Tissue,Artery - Tibial,,
GTEX-11GSP-1326-SM-5A5KY,GTEX,13.3157,9.6731,13.1673,9.5689,9.5211,11.199,Normal Tissue,Heart - Left Ventricle,,
GTEX-12WS9-0011-R2a-SM-5CVNE,GTEX,13.3155,11.1539,13.0158,8.771,10.3296,8.0125,Normal Tissue,Brain - Substantia Nigra,,
GTEX-1192X-0726-SM-5987R,GTEX,13.315,10.7159,13.8246,9.8319,10.0515,10.9016,Normal Tissue,Heart - Atrial Appendage,,
GTEX-ZLWG-0226-SM-4WWC6,GTEX,13.3138,10.8147,13.2972,9.2819,10.3514,10.2596,Normal Tissue,Artery - Aorta,,
GTEX-SNMC-0226-SM-4DM6F,GTEX,13.3137,10.2194,13.3832,9.4187,9.8271,10.0248,Normal Tissue,Artery - Coronary,,
GTEX-WYVS-1326-SM-4ONCQ,GTEX,13.3132,10.2496,13.2187,10.027,10.527,10.9787,Normal Tissue,Stomach,,
GTEX-RNOR-0326-SM-2TF51,GTEX,13.3127,9.6084,13.0075,8.4888,10.1607,10.9624,Normal Tissue,Nerve - Tibial,,
GTEX-XYKS-2426-SM-4AT43,GTEX,13.3107,10.6464,15.6091,11.8462,10.6498,11.0254,Normal Tissue,Muscle - Skeletal,,
GTEX-1192X-1826-SM-5GIE2,GTEX,13.3099,10.3093,13.381,9.5448,10.2326,10.5385,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-1497J-1226-SM-5Q5BL,GTEX,13.3094,10.0305,13.4561,10.6813,9.3876,10.2464,Normal Tissue,Heart - Left Ventricle,,
GTEX-RTLS-0426-SM-2TF5K,GTEX,13.3089,10.5888,13.1472,9.4801,10.7984,9.7273,Normal Tissue,Artery - Tibial,,
GTEX-13OW6-1626-SM-5IJD5,GTEX,13.3087,10.5763,13.1972,8.3146,10.4134,10.8815,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-11PRG-0826-SM-5EQ6A,GTEX,13.3085,10.3214,13.0292,9.2541,10.0477,11.5791,Normal Tissue,Breast - Mammary Tissue,,
GTEX-ZF29-1626-SM-4WKFJ,GTEX,13.3081,10.3528,13.2698,9.0448,10.0006,11.0114,Normal Tissue,Small Intestine - Terminal Ileum,,
GTEX-S33H-1626-SM-4AD68,GTEX,13.308,10.4316,14.2452,11.2361,10.418,8.8807,Normal Tissue,Liver,,
GTEX-WVJS-0826-SM-4MVNR,GTEX,13.308,10.3162,12.9328,9.5633,9.9093,11.1176,Normal Tissue,Lung,,
GTEX-ZDTT-0226-SM-4WKHM,GTEX,13.3078,10.5271,13.5172,8.8746,10.0033,10.8699,Normal Tissue,Artery - Aorta,,
GTEX-WHSE-0011-R3A-SM-3P5ZM,GTEX,13.3072,11.5913,13.3703,7.9859,10.0617,8.1734,Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),,
GTEX-146FH-1126-SM-5NQAT,GTEX,13.3072,10.2227,13.4397,10.1013,9.4358,10.5633,Normal Tissue,Heart - Atrial Appendage,,
GTEX-Z93S-0826-SM-5HL7Y,GTEX,13.3067,10.0538,12.8592,8.7697,10.231,10.7117,Normal Tissue,Nerve - Tibial,,
GTEX-PVOW-0626-SM-2XCF6,GTEX,13.3066,10.4961,12.896,7.2423,10.5762,9.8703,Normal Tissue,Nerve - Tibial,,
GTEX-1212Z-2726-SM-5EQ59,GTEX,13.3059,10.6668,13.0494,8.1282,10.1985,10.5018,Normal Tissue,Nerve - Tibial,,
GTEX-145MI-0011-R7b-SM-5Q5AZ,GTEX,13.3058,11.8346,13.4693,8.5026,9.957,9.5963,Normal Tissue,Brain - Putamen (Basal Ganglia),,
GTEX-QEL4-1926-SM-4R1JI,GTEX,13.3055,10.5325,13.313,9.025,10.0889,10.9977,Normal Tissue,Colon - Transverse,,
GTEX-WH7G-1026-SM-4LVML,GTEX,13.305,10.2838,14.0243,10.2893,10.2822,9.6756,Normal Tissue,Esophagus - Muscularis,,
GTEX-13N1W-0011-R3a-SM-5MR5E,GTEX,13.3047,11.6276,13.1796,7.0539,9.7675,9.5427,Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),,
GTEX-X3Y1-0226-SM-3P5Z5,GTEX,13.3044,10.7306,13.7935,10.1921,10.0488,10.6228,Normal Tissue,Heart - Atrial Appendage,,
GTEX-13OW7-0626-SM-5K7UD,GTEX,13.3039,10.9526,13.3746,7.6809,10.3005,9.5623,Normal Tissue,Artery - Tibial,,
GTEX-13NYS-3126-SM-5KLYV,GTEX,13.3034,10.92,13.2753,7.5143,10.2282,8.0485,Normal Tissue,Brain - Cortex,,
GTEX-147JS-1126-SM-5RQIW,GTEX,13.3033,10.8997,14.0801,10.6297,10.2994,9.4753,Normal Tissue,Liver,,
GTEX-13CZV-0011-R9a-SM-5LZXT,GTEX,13.3029,11.3475,12.9566,7.859,10.2265,10.0993,Normal Tissue,Brain - Spinal Cord (Cervical C-1),,
GTEX-WHWD-1226-SM-4OOS1,GTEX,13.3023,10.5942,13.3805,9.0311,9.9672,10.9558,Normal Tissue,Colon - Transverse,,
GTEX-RWS6-0326-SM-2XCAP,GTEX,13.3019,10.0573,13.9684,10.2107,9.9836,10.1853,Normal Tissue,Heart - Left Ventricle,,
GTEX-PWCY-0526-SM-5PNU8,GTEX,13.3016,10.7116,14.1668,8.7627,9.7274,9.4872,Normal Tissue,Heart - Left Ventricle,,
GTEX-1339X-0326-SM-5K7Z8,GTEX,13.3004,10.5413,13.9203,10.1622,9.6628,10.9452,Normal Tissue,Heart - Atrial Appendage,,
GTEX-RWS6-0626-SM-2XCAS,GTEX,13.2997,10.19,13.5361,7.3352,10.293,11.0417,Normal Tissue,Thyroid,,
GTEX-U4B1-0626-SM-3DB8L,GTEX,13.2992,10.6335,13.9146,8.8816,10.6792,10.0874,Normal Tissue,Thyroid,,
GTEX-O5YV-2026-SM-2D7VS,GTEX,13.2989,10.059,15.833,11.897,10.8583,12.0219,Normal Tissue,Muscle - Skeletal,,
GTEX-WEY5-0226-SM-3GIKN,GTEX,13.2987,10.7008,13.591,9.9127,10.0752,11.3619,Normal Tissue,Heart - Atrial Appendage,,
GTEX-OIZG-1526-SM-2YUNG,GTEX,13.2986,9.9593,13.5578,8.636,9.8969,10.876,Normal Tissue,Artery - Tibial,,
GTEX-U3ZM-0826-SM-4DXU6,GTEX,13.298,9.9587,13.5575,9.7759,10.6313,10.7817,Normal Tissue,Bladder,,
GTEX-OOBJ-1526-SM-3NB1Q,GTEX,13.2977,10.4318,13.833,10.0745,10.3519,8.9836,Normal Tissue,Stomach,,
GTEX-ZAK1-0426-SM-5J1MS,GTEX,13.295,10.6102,13.1027,9.039,10.1938,10.0543,Normal Tissue,Artery - Tibial,,
GTEX-12584-0826-SM-5FQSK,GTEX,13.2944,10.3436,13.2338,8.2963,11.1683,10.6236,Normal Tissue,Thyroid,,
GTEX-13N11-2726-SM-5L3ER,GTEX,13.2942,10.1793,14.6731,11.3964,10.9637,11.04,Normal Tissue,Muscle - Skeletal,,
GTEX-Q734-1126-SM-48TZY,GTEX,13.294,10.646,13.2976,9.0113,9.7214,10.8781,Normal Tissue,Colon - Transverse,,
GTEX-139T6-2026-SM-5IFFL,GTEX,13.2927,10.9128,15.865,12.5839,11.6983,11.4733,Normal Tissue,Muscle - Skeletal,,
GTEX-12WSM-1426-SM-5GCPA,GTEX,13.2926,10.7743,13.5097,9.1093,10.8845,9.1244,Normal Tissue,Colon - Sigmoid,,
GTEX-12126-0626-SM-5Q5AQ,GTEX,13.2919,10.2134,13.0056,8.2812,10.3902,11.3713,Normal Tissue,Nerve - Tibial,,
GTEX-13OVJ-2826-SM-5L3GW,GTEX,13.2917,10.5159,13.1989,7.2423,9.7945,9.1869,Normal Tissue,Brain - Cortex,,
GTEX-ZV7C-1526-SM-5NQ72,GTEX,13.2916,10.5986,13.3737,8.9551,9.865,10.5276,Normal Tissue,Colon - Transverse,,
GTEX-11ZVC-2926-SM-5986H,GTEX,13.2915,10.8446,13.4042,9.7953,10.1267,9.7572,Normal Tissue,Artery - Tibial,,
GTEX-12WSL-0626-SM-5GCOY,GTEX,13.2914,10.8714,13.7473,7.9812,10.4622,10.4134,Normal Tissue,Thyroid,,
GTEX-145MO-0726-SM-5NQB9,GTEX,13.2913,10.3331,15.533,12.476,11.3012,11.3274,Normal Tissue,Muscle - Skeletal,,
GTEX-11EQ9-0926-SM-5HL6I,GTEX,13.2912,10.3374,13.9325,9.4807,10.5243,10.1381,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-ZAJG-2626-SM-5S2NU,GTEX,13.2907,10.6312,13.2236,9.1987,10.8282,10.8392,Normal Tissue,Colon - Sigmoid,,
GTEX-WFON-0526-SM-4LVLY,GTEX,13.2906,10.5945,13.5209,8.8333,10.0367,10.8736,Normal Tissue,Artery - Aorta,,
GTEX-N7MS-0626-SM-2YUN7,GTEX,13.2903,10.7054,13.6921,8.669,10.411,10.4493,Normal Tissue,Artery - Tibial,,
GTEX-145MH-3126-SM-5S2QT,GTEX,13.2897,10.6105,13.3161,7.8033,10.1234,10.653,Normal Tissue,Pituitary,,
GTEX-12ZZX-0526-SM-5DUW6,GTEX,13.289,10.468,12.9964,9.1371,10.0691,8.9579,Normal Tissue,Artery - Tibial,,
GTEX-12584-0926-SM-5FQTN,GTEX,13.2884,9.8323,13.0998,9.8731,10.0449,11.4019,Normal Tissue,Heart - Left Ventricle,,
GTEX-ZC5H-1026-SM-5CVN1,GTEX,13.288,10.506,13.0831,10.5891,9.9322,8.545,Normal Tissue,Artery - Aorta,,
GTEX-PWCY-2326-SM-2I3EQ,GTEX,13.288,10.4891,13.8066,8.3166,10.3416,10.8765,Normal Tissue,Thyroid,,
GTEX-13OVI-0826-SM-5KLZ8,GTEX,13.2876,10.5656,13.3859,7.5911,10.5833,10.8928,Normal Tissue,Thyroid,,
GTEX-WYJK-1226-SM-4ONCP,GTEX,13.2873,10.5762,13.2968,8.4671,10.3927,10.7046,Normal Tissue,Artery - Aorta,,
GTEX-13NYS-0011-R5a-SM-5MR4D,GTEX,13.2866,11.0062,13.3735,7.9495,9.8311,7.823,Normal Tissue,Brain - Caudate (Basal Ganglia),,
GTEX-YB5E-1626-SM-5IFIQ,GTEX,13.2862,10.7908,13.5524,9.5453,9.708,10.9391,Normal Tissue,Colon - Transverse,,
GTEX-13NYB-1726-SM-5N9G2,GTEX,13.2861,11.3068,13.2568,9.373,9.7173,8.8959,Normal Tissue,Kidney - Cortex,,
GTEX-11NV4-2326-SM-5BC4X,GTEX,13.2861,10.7426,13.3791,7.2707,10.4544,7.5421,Normal Tissue,Pituitary,,
GTEX-PLZ6-0006-SM-33HBZ,GTEX,13.286,9.9299,11.1171,8.4915,9.6906,8.5568,Normal Tissue,Whole Blood,,
GTEX-13G51-1226-SM-5K7Z3,GTEX,13.2858,10.5767,13.3688,6.8961,10.5007,10.4535,Normal Tissue,Thyroid,,
GTEX-11DXX-1626-SM-5H11H,GTEX,13.2852,10.4504,13.4463,9.2539,9.7525,10.959,Normal Tissue,Small Intestine - Terminal Ileum,,
GTEX-NFK9-2026-SM-3LK5K,GTEX,13.285,10.3734,13.7769,9.0731,10.3187,11.8441,Normal Tissue,Colon - Transverse,,
GTEX-P4PQ-2626-SM-33HC9,GTEX,13.2843,10.5842,13.4592,7.891,10.55,10.5905,Normal Tissue,Thyroid,,
GTEX-13D11-0726-SM-5LZZB,GTEX,13.2838,10.6509,13.6248,8.6594,9.7183,10.5561,Normal Tissue,Small Intestine - Terminal Ileum,,
GTEX-R55E-0426-SM-2TC65,GTEX,13.2837,10.0837,13.3517,8.343,10.3524,11.6237,Normal Tissue,Nerve - Tibial,,
GTEX-14BMV-1026-SM-5SI6B,GTEX,13.2835,10.8788,13.7207,9.5376,10.1809,11.2588,Normal Tissue,Heart - Atrial Appendage,,
GTEX-139TS-0126-SM-5K7XJ,GTEX,13.2835,10.6614,13.531,8.1784,10.1501,10.941,Normal Tissue,Thyroid,,
GTEX-ZLV1-2126-SM-4WWD2,GTEX,13.2834,10.99,15.7757,11.6913,11.054,10.4372,Normal Tissue,Muscle - Skeletal,,
GTEX-Y111-2026-SM-4SOJA,GTEX,13.2833,10.483,13.0012,8.8374,10.2986,11.0362,Normal Tissue,Breast - Mammary Tissue,,
GTEX-13FTX-2226-SM-5J1OP,GTEX,13.2832,10.858,13.0583,9.443,10.8498,10.0838,Normal Tissue,Artery - Tibial,,
GTEX-111FC-0526-SM-5GZZ8,GTEX,13.2832,10.6691,12.8833,8.2265,10.5637,10.6109,Normal Tissue,Nerve - Tibial,,
